name,price,km_driven,fuel_type,transmission,location,url
2014 Hyundai i20 Sportz 1.2,₹2.40 Lakh,"52,000 kms",Petrol,Manual,"Daltonganj, Medininagar",https://www.cardekho.com/used-car-details/used-Hyundai-i20-sportz-12-cars-Medininagar_8e19a10f-f7fc-4384-bf38-c5d48da08567.htm
2024 Mahindra XUV700 AX7 7Str Diesel,₹21 Lakh,"40,000 kms",Diesel,Manual,"Rourkela - 14, Sundergarh",https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax7-7str-diesel-cars-Sundergarh_10dc612b-4882-41d3-8757-72853042f5e7.htm
2011 Maruti Suzuki Swift VDI,₹2.30 Lakh,"1,20,000 kms",Diesel,Manual,Korba,https://www.cardekho.com/used-car-details/used-Maruti-swift-vdi-cars-Korba_d6a4a6d2-1275-432f-a1da-28243b5f359c.htm
2010 Maruti Suzuki Alto K10 2010-2014 VXI,"₹99,999","47,000 kms",Petrol,Manual,Raigarh,https://www.cardekho.com/used-car-details/used-Maruti-alto-k10-2010-2014-vxi-cars-Raigarh_3b6946a9-4b7f-4eed-bb44-17b6288ab84b.htm
2010 Maruti Suzuki Alto K10 2010-2014 VXI,"₹99,999","47,000 kms",Petrol,Manual,Raigarh,https://www.cardekho.com/used-car-details/used-Maruti-alto-k10-2010-2014-vxi-cars-Raigarh_28d8afd3-ffe1-4583-bd80-3bdb9a409602.htm
2024 Maruti Suzuki FRONX Sigma,₹7.10 Lakh,"15,000 kms",Petrol,Manual,"Colliery, Singrauli",https://www.cardekho.com/used-car-details/used-Maruti-fronx-sigma-cars-Singrauli_d3bf42e7-88c3-4181-950f-a755d170ac3c.htm
2024 Maruti Suzuki Brezza Vxi,₹9 Lakh,"20,000 kms",Petrol,Manual,"Basanti Colony, Sundergarh",https://www.cardekho.com/used-car-details/used-Maruti-brezza-vxi-cars-Sundergarh_ba5053d5-46ec-400b-bebc-2182594cec9d.htm
2018 Mahindra Bolero Power Plus SLX,₹5 Lakh,"95,000 kms",Diesel,Manual,Garhwa,https://www.cardekho.com/used-car-details/used-Mahindra-bolero-power-plus-slx-cars-Garhwa_cb0d6a66-b396-418d-9ec5-cfa42f6f1c3f.htm
2022 Maruti Suzuki Ertiga ZXI Plus,₹9.50 Lakh,"40,000 kms",Petrol,Manual,Raigarh,https://www.cardekho.com/used-car-details/used-Maruti-ertiga-zxi-plus-cars-Raigarh_9753ceb9-28eb-4dcf-9cce-65b57c530cdf.htm
2016 Mahindra Bolero DI - AC BS III,₹4 Lakh,"1,00,000 kms",Diesel,Manual,Sonbhadra,https://www.cardekho.com/used-car-details/used-Mahindra-bolero-di-ac-bs-iii-cars-Sonbhadra_c9f809d0-94d6-4bc3-b837-2f13aadc7be1.htm
2016 Mahindra Bolero DI - AC BS III,₹4.50 Lakh,"1,00,000 kms",Diesel,Manual,"Wyndhamganj, Sonbhadra",https://www.cardekho.com/used-car-details/used-Mahindra-bolero-di-ac-bs-iii-cars-Sonbhadra_4227053d-5fc5-4c82-89d1-e5cd1395da93.htm
2006 Maruti Suzuki Alto 800 STD,"₹90,000","80,000 kms",Petrol,Manual,Raigarh,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-std-cars-Raigarh_2e9c0f84-0d6e-4b7e-a657-70352a1c5b8e.htm
2014 Maruti Suzuki Swift Dzire VXI,₹3 Lakh,"1,20,000 kms",Petrol,Manual,"Chakradharnagar, Raigarh",https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-vxi-cars-Raigarh_6b5d0c7c-7145-4df6-8b64-ab7fe8232a04.htm
2023 Maruti Suzuki Baleno Delta,₹6.50 Lakh,"20,000 kms",Petrol,Manual,"Janjgir, Janjgir-Champa",https://www.cardekho.com/used-car-details/used-Maruti-baleno-delta-cars-Janjgir-Champa_8abe9b61-32e5-4b06-be46-c2ac0e5c3c0f.htm
2020 Hyundai Grand i10 Nios Sportz,₹4.70 Lakh,"1,24,000 kms",Petrol,Manual,Ramanujganj,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-nios-sportz-cars-Ramanujganj_86d86d9f-4e34-466f-a8dc-140cbdab1076.htm
2012 Tata Indigo GLX,₹1 Lakh,"70,000 kms",Petrol,Manual,"Town, Korba",https://www.cardekho.com/used-car-details/used-Tata-indigo-glx-cars-Korba_58b4f358-e447-472a-8852-51db3cb3bc69.htm
2011 Mahindra Scorpio EX 2WD 7S,₹5 Lakh,"1,00,000 kms",Diesel,Manual,Raigarh,https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-ex-2wd-7s-cars-Raigarh_78f6dc6c-b870-4d46-b81f-99e710338248.htm
2016 Hyundai EON Sportz,₹2.01 Lakh,"60,000 kms",Petrol,Manual,"Daltonganj, Medininagar",https://www.cardekho.com/used-car-details/used-Hyundai-eon-sportz-cars-Medininagar_85b92252-362d-4589-8c00-fb06e6a4c73e.htm
2013 Maruti Suzuki Swift VDI,₹2.55 Lakh,"1,60,000 kms",Diesel,Manual,Korba,https://www.cardekho.com/used-car-details/used-Maruti-swift-vdi-cars-Korba_0d6a6788-15aa-4090-ac64-cae16a62ee3a.htm
2019 Maruti Suzuki Vitara Brezza ZDi,₹5.80 Lakh,"1,75,000 kms",Diesel,Manual,Singrauli,https://www.cardekho.com/used-car-details/used-Maruti-vitara-brezza-zdi-cars-Singrauli_6faac05f-66be-4af8-b898-dc158ca44ac5.htm
2014 Maruti Suzuki Swift Dzire VDI,₹3.50 Lakh,"1,00,000 kms",Diesel,Manual,Raigarh,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-vdi-cars-Raigarh_e13824b4-57e4-4fa3-9f81-174a97751e2a.htm
2025 Maruti Suzuki Swift VXi,₹5.50 Lakh,"60,000 kms",Petrol,Manual,"Godhna, Janjgir-Champa",https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-cars-Janjgir-Champa_06888cea-9852-42ca-9a4b-cab3be6c66aa.htm
2013 Honda Brio EX MT,₹2.50 Lakh,"76,000 kms",Petrol,Manual,Korba,https://www.cardekho.com/used-car-details/used-Honda-brio-ex-mt-cars-Korba_eee77ba0-5ffe-43dd-a7d1-a476058b89b7.htm
