name,price,km_driven,fuel_type,transmission,location,url
2014 Renault Duster 4x4,₹3.40 Lakh,"1,60,000 kms",Diesel,Manual,"Tali Road, Waidhan",https://www.cardekho.com/used-car-details/used-Renault-duster-4x4-cars-Waidhan_42c01389-c77a-4307-8da9-3d0071458dca.htm
2023 Kia Sonet HTX Diesel BSVI,₹9.50 Lakh,"96,000 kms",Diesel,Manual,Korba,https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-diesel-bsvi-cars-Korba_739adf6b-85a4-46a5-afb3-4b4f78436b82.htm?adId=26495&adType=41
2010 Maruti Suzuki Alto 800 LXi BSIII,₹1.30 Lakh,"40,000 kms",Petrol,Manual,"Balinga, Sundergarh",https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-bsiii-cars-Sundergarh_1dc2ca13-c277-4960-99d5-df4ea8a042e9.htm
2018 Maruti Suzuki Swift ZXI,₹5 Lakh,"80,000 kms",Petrol,Manual,"Town, Korba",https://www.cardekho.com/used-car-details/used-Maruti-swift-zxi-cars-Korba_7b61788f-e8ad-42a9-93f0-44f380cc82c4.htm
2015 Maruti Suzuki Alto 800 LXI,₹2.05 Lakh,"70,000 kms",Petrol,Manual,Manendragarh,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Manendragarh_d8266833-990f-456b-bd15-c018bea23b6f.htm
2020 Honda City VX MT,₹9.49 Lakh,"40,000 kms",Petrol,Manual,"Bishrampur, Surguja",https://www.cardekho.com/used-car-details/used-Honda-city-vx-mt-cars-Surguja_7b707ee6-04c4-4c75-9969-47bd7d44ec26.htm?adId=25714&adType=41
2019 Hyundai Santro Sportz AMT BSIV,₹5 Lakh,"44,000 kms",Petrol,Automatic,Raigarh,https://www.cardekho.com/used-car-details/used-Hyundai-santro-sportz-amt-bsiv-cars-Raigarh_19789c7d-5f1d-4cab-a89e-1055620a340a.htm
2019 Toyota Glanza G,₹5 Lakh,"45,000 kms",Petrol,Manual,Janjgir-Champa,https://www.cardekho.com/used-car-details/used-Toyota-glanza-g-cars-Janjgir-Champa_71315b75-90ec-4397-b961-bac729c66c06.htm
2017 Toyota Innova Crysta 2.7 VX MT BSIV,₹15 Lakh,"1,30,000 kms",Petrol,Manual,Korba,https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-27-vx-mt-bsiv-cars-Korba_fbec9d15-a681-48ee-ae0d-1192c30377e0.htm
2017 Hyundai Creta 1.6 VTVT E Plus,₹6.70 Lakh,"42,000 kms",Petrol,Manual,"Meu, Janjgir-Champa",https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-vtvt-e-plus-cars-Janjgir-Champa_1a2b9d01-e91c-4afc-905b-024d23c7d69d.htm?adId=25131&adType=41
2016 Ford Ecosport 1.5 TDCi Titanium BSIV,₹4.10 Lakh,"1,00,000 kms",Diesel,Manual,Korba,https://www.cardekho.com/used-car-details/used-Ford-ecosport-15-tdci-titanium-bsiv-cars-Korba_3b9a0a52-00d7-4231-ae5e-333facd5783c.htm
2014 Honda City i DTEC SV,₹3.20 Lakh,"90,000 kms",Diesel,Manual,"Belhatthi, Renukoot",https://www.cardekho.com/used-car-details/used-Honda-city-i-dtec-sv-cars-Renukoot_1ccfd87c-f482-470e-94ae-e6be4fe2f48d.htm
2024 Maruti Suzuki Alto K10 VXI Plus,₹4.36 Lakh,"45,000 kms",Petrol,Manual,Sundergarh,https://www.cardekho.com/used-car-details/used-Maruti-alto-k10-vxi-plus-cars-Sundergarh_cd8b337f-846d-4ebb-be98-088b9278e64f.htm
2014 Mahindra XUV500 W8 FWD,₹6 Lakh,"1,82,570 kms",Diesel,Manual,Manendragarh,https://www.cardekho.com/used-car-details/used-Mahindra-xuv500-w8-fwd-cars-Manendragarh_41885622-d808-45e1-9035-cfbd3df89481.htm
2025 Kia Sonet GTX Plus Diesel AT,₹13 Lakh,"20,000 kms",Diesel,Automatic,"Chhuri, Korba",https://www.cardekho.com/used-car-details/used-Kia-sonet-gtx-plus-diesel-at-cars-Korba_8d99cc3f-8978-4617-9524-a8792ad5d047.htm
2019 Tata Tigor XZ Plus,₹4.20 Lakh,"87,000 kms",Petrol,Manual,"Sitapur, Surguja",https://www.cardekho.com/used-car-details/used-Tata-tigor-xz-plus-cars-Surguja_0f88d523-48a8-483f-8f8e-283aced6f5c5.htm
2021 Hyundai Creta EX Diesel BSVI,₹8.25 Lakh,"90,000 kms",Diesel,Manual,Korba,https://www.cardekho.com/used-car-details/used-Hyundai-creta-ex-diesel-bsvi-cars-Korba_d01326fe-d57a-4769-a2c6-c1233f9e6e2c.htm
